orderNumber,status,customerNumber
10259,Shipped,166
10260,Cancelled,357
10261,Shipped,233
10262,Cancelled,141
10263,Shipped,175
10264,Shipped,362
10265,Shipped,471
10266,Shipped,386
10267,Shipped,151
10268,Shipped,412
10269,Shipped,382
10270,Shipped,282
10271,Shipped,124
10272,Shipped,157
10273,Shipped,314
10274,Shipped,379
10275,Shipped,119
10276,Shipped,204
10277,Shipped,148
10278,Shipped,112
10279,Shipped,141
10280,Shipped,249
10281,Shipped,157
10282,Shipped,124
10283,Shipped,260
10284,Shipped,299
10285,Shipped,286
10286,Shipped,172
10287,Shipped,298
10288,Shipped,166
10289,Shipped,167
10290,Shipped,198
10291,Shipped,448
10292,Shipped,131
10293,Shipped,249
10294,Shipped,204
10295,Shipped,362
10296,Shipped,415
10297,Shipped,189
10298,Shipped,103
10299,Shipped,186
10300,Shipped,128
10301,Shipped,299
10302,Shipped,201
10303,Shipped,484
10304,Shipped,256
10305,Shipped,286
10306,Shipped,187
10307,Shipped,339
10308,Shipped,319
10309,Shipped,121
10310,Shipped,259
10311,Shipped,141
10312,Shipped,124
10313,Shipped,202
10314,Shipped,227
10315,Shipped,119
10316,Shipped,240
10317,Shipped,161
10318,Shipped,157
10319,Shipped,456
10320,Shipped,144
10321,Shipped,462
10322,Shipped,363
10323,Shipped,128
10324,Shipped,181
10325,Shipped,121
10326,Shipped,144
10327,Resolved,145
10328,Shipped,278
10329,Shipped,131
10330,Shipped,385
10331,Shipped,486
10332,Shipped,187
10333,Shipped,129
10334,"On Hold",144
10335,Shipped,124
10336,Shipped,172
10337,Shipped,424
10338,Shipped,381
10339,Shipped,398
10340,Shipped,216
10341,Shipped,382
10342,Shipped,114
10343,Shipped,353
10344,Shipped,350
10345,Shipped,103
10346,Shipped,112
10347,Shipped,114
10348,Shipped,458
10349,Shipped,151
10350,Shipped,141
10351,Shipped,324
10352,Shipped,198
10353,Shipped,447
10354,Shipped,323
10355,Shipped,141
10356,Shipped,250
10357,Shipped,124
10358,Shipped,141
10359,Shipped,353
10360,Shipped,496
10361,Shipped,282
10362,Shipped,161
10363,Shipped,334
10364,Shipped,350
10365,Shipped,320
10366,Shipped,381
10367,Resolved,205
10368,Shipped,124
10369,Shipped,379
10370,Shipped,276
10371,Shipped,124
10372,Shipped,398
10373,Shipped,311
10374,Shipped,333
10375,Shipped,119
10376,Shipped,219
10377,Shipped,186
10378,Shipped,141
10379,Shipped,141
10380,Shipped,141
10381,Shipped,321
10382,Shipped,124
10383,Shipped,141
10384,Shipped,321
10385,Shipped,124
10386,Resolved,141
10387,Shipped,148
10388,Shipped,462
10389,Shipped,448
10390,Shipped,124
10391,Shipped,276
10392,Shipped,452
10393,Shipped,323
10394,Shipped,141
10395,Shipped,250
10396,Shipped,124
10397,Shipped,242
10398,Shipped,353
10399,Shipped,496
10400,Shipped,450
10401,"On Hold",328
10402,Shipped,406
10403,Shipped,201
10404,Shipped,323
10405,Shipped,209
10406,Disputed,145
10407,"On Hold",450
10408,Shipped,398
10409,Shipped,166
10410,Shipped,357
10411,Shipped,233
10412,Shipped,141
10413,Shipped,175
10414,"On Hold",362
10415,Disputed,471
10416,Shipped,386
10417,Disputed,141
10418,Shipped,412
10419,Shipped,382
10420,"In Process",282
10421,"In Process",124
10422,"In Process",157
10423,"In Process",314
10424,"In Process",141
10425,"In Process",119
